numero,data_pedido,hora_pedido,cliente,endereco,telefone,tipo_entrega,valor_pizza,valor_borda,valor_refrigerante,valor_entrega,valor_total,hora_entrega,tempo
502,2011-11-13,20:23:00,"Cliente 502","Endereco 502",00-000-0501,Entrega,28,0,0,2.5,30.5,21:10:00,00:47:00
503,2011-11-13,20:46:00,"Cliente 503","Endereco 503",00-000-0502,Buscar,36,0,0,0,36,21:30:00,00:44:00
504,2011-11-13,20:54:00,"Cliente 504","Endereco 504",00-000-0503,Entrega,23,0,4,2.5,29.5,21:45:00,00:51:00
505,2011-11-13,21:08:00,"Cliente 505","Endereco 505",00-000-0504,Buscar,31,2.5,0,0,33.5,22:00:00,00:52:00
506,2011-11-13,21:15:00,"Cliente 506","Endereco 506",00-000-0505,Buscar,30,2.5,0,0,32.5,22:00:00,00:45:00
507,2011-11-13,21:20:00,"Cliente 507","Endereco 507",00-000-0506,Entrega,28,0,4.5,2.5,35,22:00:00,00:40:00
508,2011-11-13,21:26:00,"Cliente 508","Endereco 508",00-000-0507,Buscar,28,0,0,0,28,22:15:00,00:49:00
509,2011-11-13,21:27:00,"Cliente 509","Endereco 509",00-000-0508,Buscar,27,0,0,0,27,22:00:00,00:33:00
510,2011-11-13,21:30:00,"Cliente 510","Endereco 510",00-000-0509,Entrega,22,0,0,2.5,24.5,22:22:00,00:52:00
511,2011-11-13,21:51:00,"Cliente 511","Endereco 511",00-000-0510,Buscar,25.5,0,0,0,25.5,22:30:00,00:39:00
512,2011-11-13,21:52:00,"Cliente 512","Endereco 512",00-000-0511,Entrega,23,0,0,2.5,25.5,22:45:00,00:53:00
513,2011-11-13,22:19:00,"Cliente 513","Endereco 513",00-000-0512,Buscar,30,0,0,0,30,23:00:00,00:41:00
514,2011-11-15,18:00:00,"Cliente 514","Endereco 514",00-000-0513,Entrega,30,0,0,2.5,32.5,18:55:00,00:55:00
515,2011-11-15,19:17:00,"Cliente 515","Endereco 515",00-000-0514,Buscar,22,0,0,0,22,19:30:00,00:13:00
516,2011-11-15,20:04:00,"Cliente 516","Endereco 516",00-000-0515,Entrega,30,0,4.5,2.5,37,20:50:00,00:46:00
517,2011-11-15,20:35:00,"Cliente 517","Endereco 517",00-000-0516,Entrega,18,0,0,2.5,20.5,21:00:00,00:25:00
518,2011-11-15,20:39:00,"Cliente 518","Endereco 518",00-000-0517,Entrega,23,0,4.5,2.5,30,21:16:00,00:37:00
519,2011-11-15,20:53:00,"Cliente 519","Endereco 519",00-000-0518,Buscar,22,0,0,0,22,21:19:00,00:26:00
520,2011-11-15,21:10:00,"Cliente 520","Endereco 520",00-000-0519,Entrega,20,0,0,2.5,22.5,22:00:00,00:50:00
521,2011-11-15,21:14:00,"Cliente 521","Endereco 521",00-000-0520,Buscar,21,0,4,0,25,22:00:00,00:46:00
522,2011-11-15,21:31:00,"Cliente 522","Endereco 522",00-000-0521,Buscar,23,0,0,0,23,22:00:00,00:29:00
523,2011-11-15,21:36:00,"Cliente 523","Endereco 523",00-000-0522,Entrega,20,0,0,2.5,22.5,22:10:00,00:34:00
524,2011-11-15,21:37:00,"Cliente 524","Endereco 524",00-000-0523,Entrega,30,0,0,2.5,32.5,22:15:00,00:38:00
525,2011-11-15,22:00:00,"Cliente 525","Endereco 525",00-000-0524,Entrega,32,0,0,2.5,34.5,22:36:00,00:36:00
526,2011-11-15,22:07:00,"Cliente 526","Endereco 526",00-000-0525,Buscar,20,0,0,0,20,22:36:00,00:29:00
527,2011-11-15,22:18:00,"Cliente 527","Endereco 527",00-000-0526,Buscar,27,0,0,0,27,22:50:00,00:32:00
528,2011-11-15,23:03:00,"Cliente 528","Endereco 528",00-000-0527,Buscar,30,0,0,0,30,23:40:00,00:37:00
529,2011-11-16,20:02:00,"Cliente 529","Endereco 529",00-000-0528,Buscar,32,0,0,0,32,20:35:00,00:33:00
530,2011-11-16,19:17:00,"Cliente 530","Endereco 530",00-000-0529,Buscar,21,0,4,0,25,20:00:00,00:43:00
531,2011-11-16,20:12:00,"Cliente 531","Endereco 531",00-000-0530,Entrega,32,0,4,2.5,38.5,20:45:00,00:33:00
532,2011-11-16,19:30:00,"Cliente 532","Endereco 532",00-000-0531,Buscar,22,0,5,0,27,20:15:00,00:45:00
533,2011-11-16,20:10:00,"Cliente 533","Endereco 533",00-000-0532,Buscar,30,0,4,0,34,21:00:00,00:50:00
534,2011-11-16,20:09:00,"Cliente 534","Endereco 534",00-000-0533,Buscar,32,0,4.5,0,36.5,20:40:00,00:31:00
535,2011-11-16,20:20:00,"Cliente 535","Endereco 535",00-000-0534,Entrega,28,0,0,2.5,30.5,20:58:00,00:38:00
536,2011-11-16,20:23:00,"Cliente 536","Endereco 536",00-000-0535,Buscar,30,0,0,0,30,20:48:00,00:25:00
537,2011-11-16,20:25:00,"Cliente 537","Endereco 537",00-000-0536,Entrega,28,0,0,2.5,30.5,21:04:00,00:39:00
538,2011-11-16,20:27:00,"Cliente 538","Endereco 538",00-000-0537,Buscar,23,2.5,4.5,0,30,21:10:00,00:43:00
539,2011-11-16,20:32:00,"Cliente 539","Endereco 539",00-000-0538,Entrega,32,0,0,2.5,34.5,21:20:00,00:48:00
540,2011-11-16,20:32:00,"Cliente 540","Endereco 540",00-000-0539,Entrega,22,0,4.5,2.5,29,20:49:00,00:17:00
541,2011-11-16,20:32:00,"Cliente 541","Endereco 541",00-000-0540,Entrega,22,0,4.5,2.5,29,20:47:00,00:15:00
542,2011-11-16,20:32:00,"Cliente 542","Endereco 542",00-000-0541,Buscar,28,3,0,0,31,21:15:00,00:43:00
543,2011-11-16,20:47:00,"Cliente 543","Endereco 543",00-000-0542,Buscar,26,0,0,0,26,21:15:00,00:28:00
544,2011-11-16,20:48:00,"Cliente 544","Endereco 544",00-000-0543,Entrega,30,0,0,2.5,32.5,21:15:00,00:27:00
545,2011-11-16,20:49:00,"Cliente 545","Endereco 545",00-000-0544,Entrega,30,0,4.5,2.5,37,21:37:00,00:48:00
546,2011-11-16,20:49:00,"Cliente 546","Endereco 546",00-000-0545,Buscar,36,0,0,0,36,21:30:00,00:41:00
547,2011-11-16,20:56:00,"Cliente 547","Endereco 547",00-000-0546,Entrega,23,0,4.5,2.5,30,21:20:00,00:24:00
548,2011-11-16,21:12:00,"Cliente 548","Endereco 548",00-000-0547,Buscar,20,3,0,0,23,22:00:00,00:48:00
549,2011-11-16,21:21:00,"Cliente 549","Endereco 549",00-000-0548,Entrega,27,0,0,2.5,29.5,22:00:00,00:39:00
550,2011-11-16,21:22:00,"Cliente 550","Endereco 550",00-000-0549,Entrega,26,0,0,2.5,28.5,22:00:00,00:38:00
551,2011-11-16,21:34:00,"Cliente 551","Endereco 551",00-000-0550,Entrega,21,2.5,0,2.5,26,22:15:00,00:41:00
552,2011-11-16,21:56:00,"Cliente 552","Endereco 552",00-000-0551,Buscar,21,0,0,0,21,22:30:00,00:34:00
553,2011-11-16,21:57:00,"Cliente 553","Endereco 553",00-000-0552,Buscar,17,0,0,0,17,22:40:00,00:43:00
554,2011-11-16,22:05:00,"Cliente 554","Endereco 554",00-000-0553,Entrega,32,0,0,2.5,34.5,22:25:00,00:20:00
555,2011-11-16,22:06:00,"Cliente 555","Endereco 555",00-000-0554,Entrega,30,0,0,2.5,32.5,22:45:00,00:39:00
556,2011-11-16,22:08:00,"Cliente 556","Endereco 556",00-000-0555,Buscar,27,0,0,0,27,22:50:00,00:42:00
557,2011-11-16,22:10:00,"Cliente 557","Endereco 557",00-000-0556,Entrega,30,0,0,2.5,32.5,22:50:00,00:40:00
558,2011-11-16,22:13:00,"Cliente 558","Endereco 558",00-000-0557,Entrega,26,0,4.5,2.5,33,23:00:00,00:47:00
559,2011-11-16,22:22:00,"Cliente 559","Endereco 559",00-000-0558,Buscar,30,0,0,0,30,22:40:00,00:18:00
560,2011-11-16,22:32:00,"Cliente 560","Endereco 560",00-000-0559,Entrega,36,0,0,2.5,38.5,23:10:00,00:38:00
561,2011-11-16,22:50:00,"Cliente 561","Endereco 561",00-000-0560,Buscar,30,0,0,0,30,23:40:00,00:50:00
562,2011-11-16,22:58:00,"Cliente 562","Endereco 562",00-000-0561,Entrega,36,0,0,2.5,38.5,23:35:00,00:37:00
563,2011-11-16,23:10:00,"Cliente 563","Endereco 563",00-000-0562,Buscar,28,0,0,0,28,23:40:00,00:30:00
564,2011-11-17,18:00:00,"Cliente 564","Endereco 564",00-000-0563,Buscar,21,0,0,0,21,18:50:00,00:50:00
565,2011-11-17,19:33:00,"Cliente 565","Endereco 565",00-000-0564,Entrega,20,0,0,2.5,22.5,20:00:00,00:27:00
566,2011-11-17,20:23:00,"Cliente 566","Endereco 566",00-000-0565,Entrega,21,0,0,2.5,23.5,21:00:00,00:37:00
567,2011-11-17,20:47:00,"Cliente 567","Endereco 567",00-000-0566,Buscar,23,0,0,0,23,21:25:00,00:38:00
568,2011-11-17,20:47:00,"Cliente 568","Endereco 568",00-000-0567,Buscar,36,2.5,0,0,38.5,21:30:00,00:43:00
569,2011-11-17,20:50:00,"Cliente 569","Endereco 569",00-000-0568,Buscar,30,0,4,0,34,21:30:00,00:40:00
570,2011-11-17,21:00:00,"Cliente 570","Endereco 570",00-000-0569,Buscar,30,0,0,0,30,21:30:00,00:30:00
571,2011-11-18,18:30:00,"Cliente 571","Endereco 571",00-000-0570,Entrega,20,0,0,2.5,22.5,19:09:00,00:39:00
572,2011-11-18,18:00:00,"Cliente 572","Endereco 572",00-000-0571,Entrega,30,0,0,2.5,32.5,18:50:00,00:50:00
573,2011-11-18,18:35:00,"Cliente 573","Endereco 573",00-000-0572,Entrega,22,2.5,0,2.5,27,19:20:00,00:45:00
574,2011-11-18,18:10:00,"Cliente 574","Endereco 574",00-000-0573,Entrega,26,0,0,2.5,28.5,19:00:00,00:50:00
575,2011-11-18,19:20:00,"Cliente 575","Endereco 575",00-000-0574,Entrega,30,0,0,2.5,32.5,20:00:00,00:40:00
576,2011-11-18,18:28:00,"Cliente 576","Endereco 576",00-000-0575,Entrega,23,0,0,2.5,25.5,19:00:00,00:32:00
577,2011-11-18,19:25:00,"Cliente 577","Endereco 577",00-000-0576,Buscar,26,0,0,0,26,20:00:00,00:35:00
578,2011-11-18,19:48:00,"Cliente 578","Endereco 578",00-000-0577,Buscar,30,0,0,0,30,20:30:00,00:42:00
579,2011-11-18,20:15:00,"Cliente 579","Endereco 579",00-000-0578,Entrega,22,0,0,2.5,24.5,21:08:00,00:53:00
580,2011-11-18,20:07:00,"Cliente 580","Endereco 580",00-000-0579,Entrega,20,0,4.5,2.5,27,21:00:00,00:53:00
581,2011-11-18,20:25:00,"Cliente 581","Endereco 581",00-000-0580,Entrega,28,0,0,2.5,30.5,21:00:00,00:35:00
582,2011-11-18,20:08:00,"Cliente 582","Endereco 582",00-000-0581,Entrega,23,0,0,2.5,25.5,21:00:00,00:52:00
583,2011-11-18,20:35:00,"Cliente 583","Endereco 583",00-000-0582,buscar,19.5,0,0,0,19.5,20:53:00,00:18:00
584,2011-11-18,20:34:00,"Cliente 584","Endereco 584",00-000-0583,Entrega,20,0,4.5,2.5,27,21:20:00,00:46:00
585,2011-11-18,20:37:00,"Cliente 585","Endereco 585",00-000-0584,Entrega,20,0,0,2.5,22.5,21:26:00,00:49:00
586,2011-11-18,20:35:00,"Cliente 586","Endereco 586",00-000-0585,Buscar,32,0,0,0,32,21:15:00,00:40:00
587,2011-11-18,20:46:00,"Cliente 587","Endereco 587",00-000-0586,Entrega,28,0,4.5,2.5,35,21:08:00,00:22:00
588,2011-11-18,20:38:00,"Cliente 588","Endereco 588",00-000-0587,Buscar,23,0,0,0,23,21:20:00,00:42:00
589,2011-11-18,20:50:00,"Cliente 589","Endereco 589",00-000-0588,Entrega,15,0,0,2.5,17.5,21:25:00,00:35:00
590,2011-11-18,20:41:00,"Cliente 590","Endereco 590",00-000-0589,Buscar,22,0,0,0,22,21:30:00,00:49:00
591,2011-11-18,21:03:00,"Cliente 591","Endereco 591",00-000-0590,Entrega,28,0,0,3,31,21:40:00,00:37:00
592,2011-11-18,20:45:00,"Cliente 592","Endereco 592",00-000-0591,Entrega,28,3,5,2.5,38.5,21:20:00,00:35:00
593,2011-11-18,21:30:00,"Cliente 593","Endereco 593",00-000-0592,Entrega,32,0,0,3,35,22:00:00,00:30:00
594,2011-11-18,20:47:00,"Cliente 594","Endereco 594",00-000-0593,Buscar,28,2.5,0,0,30.5,21:30:00,00:43:00
595,2011-11-18,21:52:00,"Cliente 595","Endereco 595",00-000-0594,Buscar,20,0,4,0,24,22:40:00,00:48:00
596,2011-11-18,20:49:00,"Cliente 596","Endereco 596",00-000-0595,Entrega,28,0,4,2.5,34.5,21:30:00,00:41:00
597,2011-11-18,22:10:00,"Cliente 597","Endereco 597",00-000-0596,Buscar,20,0,4,0,24,22:39:00,00:29:00
598,2011-11-18,20:49:00,"Cliente 598","Endereco 598",00-000-0597,Entrega,26,0,0,2.5,28.5,21:30:00,00:41:00
599,2011-11-18,22:15:00,"Cliente 599","Endereco 599",00-000-0598,buscar,19,0,0,0,19,23:00:00,00:45:00
600,2011-11-18,20:58:00,"Cliente 600","Endereco 600",00-000-0599,Buscar,22,0,0,0,22,21:40:00,00:42:00
601,2011-11-18,22:33:00,"Cliente 601","Endereco 601",00-000-0600,Entrega,18,0,0,3,21,23:00:00,00:27:00
602,2011-11-18,21:01:00,"Cliente 602","Endereco 602",00-000-0601,Entrega,28,0,0,2.5,30.5,21:50:00,00:49:00
603,2011-11-18,22:40:00,"Cliente 603","Endereco 603",00-000-0602,Entrega,20,0,0,2.5,22.5,23:10:00,00:30:00
604,2011-11-18,21:02:00,"Cliente 604","Endereco 604",00-000-0603,Entrega,29,0,4.5,2.5,36,21:30:00,00:28:00
605,2011-11-18,22:55:00,"Cliente 605","Endereco 605",00-000-0604,Buscar,22,0,0,0,22,23:30:00,00:35:00
606,2011-11-18,21:02:00,"Cliente 606","Endereco 606",00-000-0605,Buscar,30,0,4.5,0,34.5,21:50:00,00:48:00
607,2011-11-18,21:22:00,"Cliente 607","Endereco 607",00-000-0606,Entrega,30,0,0,2.5,32.5,22:10:00,00:48:00
608,2011-11-18,21:23:00,"Cliente 608","Endereco 608",00-000-0607,Buscar,31,0,4,0,35,22:00:00,00:37:00
609,2011-11-18,21:27:00,"Cliente 609","Endereco 609",00-000-0608,Buscar,26,0,4,0,30,22:12:00,00:45:00
610,2011-11-18,21:29:00,"Cliente 610","Endereco 610",00-000-0609,Entrega,28,0,0,2.5,30.5,22:21:00,00:52:00
611,2011-11-18,21:31:00,"Cliente 611","Endereco 611",00-000-0610,Entrega,32,0,0,2.5,34.5,22:15:00,00:44:00
612,2011-11-18,21:33:00,"Cliente 612","Endereco 612",00-000-0611,Buscar,17,0,0,0,17,22:20:00,00:47:00
613,2011-11-18,21:43:00,"Cliente 613","Endereco 613",00-000-0612,Entrega,32,0,0,2.5,34.5,22:10:00,00:27:00
614,2011-11-18,21:55:00,"Cliente 614","Endereco 614",00-000-0613,Buscar,26,0,4.5,0,30.5,22:40:00,00:45:00
615,2011-11-18,22:43:00,"Cliente 615","Endereco 615",00-000-0614,Buscar,30,3,0,0,33,23:30:00,00:47:00
616,2011-11-18,22:44:00,"Cliente 616","Endereco 616",00-000-0615,Entrega,26,0,0,2.5,28.5,23:20:00,00:36:00
617,2011-11-18,22:50:00,"Cliente 617","Endereco 617",00-000-0616,Buscar,30,0,0,0,30,23:45:00,00:55:00
618,2011-11-18,22:55:00,"Cliente 618","Endereco 618",00-000-0617,Entrega,20,0,0,2.5,22.5,23:30:00,00:35:00
619,2011-11-18,23:15:00,"Cliente 619","Endereco 619",00-000-0618,Entrega,30,0,4,2.5,36.5,23:55:00,00:40:00
620,2011-11-18,23:20:00,"Cliente 620","Endereco 620",00-000-0619,Buscar,22,0,0,0,22,23:55:00,00:35:00
621,2011-11-19,18:00:00,"Cliente 621","Endereco 621",00-000-0620,Entrega,18,0,0,2.5,20.5,18:42:00,00:42:00
622,2011-11-19,18:10:00,"Cliente 622","Endereco 622",00-000-0621,Buscar,26,0,0,0,26,19:00:00,00:50:00
623,2011-11-19,19:18:00,"Cliente 623","Endereco 623",00-000-0622,Buscar,22,0,0,0,22,20:00:00,00:42:00
624,2011-11-19,19:22:00,"Cliente 624","Endereco 624",00-000-0623,Buscar,30,0,0,0,30,20:00:00,00:38:00
625,2011-11-19,19:20:00,"Cliente 625","Endereco 625",00-000-0624,Entrega,21,0,0,4,25,20:00:00,00:40:00
626,2011-11-19,19:29:00,"Cliente 626","Endereco 626",00-000-0625,Buscar,22,0,0,0,22,20:00:00,00:31:00
627,2011-11-19,19:32:00,"Cliente 627","Endereco 627",00-000-0626,Buscar,28,2.5,0,0,30.5,20:05:00,00:33:00
628,2011-11-19,19:38:00,"Cliente 628","Endereco 628",00-000-0627,Entrega,30,0,0,2.5,32.5,20:20:00,00:42:00
629,2011-11-19,19:39:00,"Cliente 629","Endereco 629",00-000-0628,Entrega,22,0,4.5,2.5,29,20:00:00,00:21:00
630,2011-11-19,19:47:00,"Cliente 630","Endereco 630",00-000-0629,Entrega,31,0,4.5,2.5,38,20:25:00,00:38:00
631,2011-11-19,19:50:00,"Cliente 631","Endereco 631",00-000-0630,Buscar,22,0,4.5,0,26.5,20:30:00,00:40:00
632,2011-11-19,19:59:00,"Cliente 632","Endereco 632",00-000-0631,Entrega,30,0,0,2.5,32.5,20:40:00,00:41:00
633,2011-11-19,20:00:00,"Cliente 633","Endereco 633",00-000-0632,Entrega,36,0,0,3,39,20:45:00,00:45:00
634,2011-11-19,20:13:00,"Cliente 634","Endereco 634",00-000-0633,Entrega,18,0,0,2.5,20.5,20:34:00,00:21:00
635,2011-11-19,20:20:00,"Cliente 635","Endereco 635",00-000-0634,Entrega,32,0,4.5,4,40.5,21:07:00,00:47:00
636,2011-11-19,20:26:00,"Cliente 636","Endereco 636",00-000-0635,Entrega,22,0,0,2.5,24.5,21:00:00,00:34:00
637,2011-11-19,20:30:00,"Cliente 637","Endereco 637",00-000-0636,Buscar,30,0,0,0,30,21:20:00,00:50:00
638,2011-11-19,20:34:00,"Cliente 638","Endereco 638",00-000-0637,Entrega,30,0,0,3,33,21:00:00,00:26:00
639,2011-11-19,20:38:00,"Cliente 639","Endereco 639",00-000-0638,Buscar,30,0,0,0,30,21:15:00,00:37:00
640,2011-11-19,20:43:00,"Cliente 640","Endereco 640",00-000-0639,Entrega,17,0,0,2.5,19.5,21:20:00,00:37:00
641,2011-11-19,20:46:00,"Cliente 641","Endereco 641",00-000-0640,Buscar,28,0,0,0,28,21:30:00,00:44:00
642,2011-11-19,20:52:00,"Cliente 642","Endereco 642",00-000-0641,Buscar,23,0,0,0,23,21:39:00,00:47:00
643,2011-11-19,20:56:00,"Cliente 643","Endereco 643",00-000-0642,Entrega,30,0,0,2.5,32.5,21:20:00,00:24:00
644,2011-11-19,21:14:00,"Cliente 644","Endereco 644",00-000-0643,Entrega,28,0,0,2.5,30.5,21:52:00,00:38:00
645,2011-11-19,21:24:00,"Cliente 645","Endereco 645",00-000-0644,Entrega,20,2.5,0,3,25.5,22:15:00,00:51:00
646,2011-11-19,21:30:00,"Cliente 646","Endereco 646",00-000-0645,Entrega,23,0,0,3,26,22:00:00,00:30:00
647,2011-11-19,21:30:00,"Cliente 647","Endereco 647",00-000-0646,Entrega,27,2.5,0,3,32.5,22:00:00,00:30:00
648,2011-11-19,21:30:00,"Cliente 648","Endereco 648",00-000-0647,Entrega,32,0,0,3,35,22:10:00,00:40:00
649,2011-11-19,21:35:00,"Cliente 649","Endereco 649",00-000-0648,Buscar,30,0,0,0,30,22:00:00,00:25:00
650,2011-11-19,21:35:00,"Cliente 650","Endereco 650",00-000-0649,Entrega,30,0,0,3,33,22:15:00,00:40:00
651,2011-11-19,21:40:00,"Cliente 651","Endereco 651",00-000-0650,Buscar,32,0,0,0,32,22:10:00,00:30:00
652,2011-11-19,21:41:00,"Cliente 652","Endereco 652",00-000-0651,Buscar,31,0,0,0,31,22:10:00,00:29:00
653,2011-11-19,21:48:00,"Cliente 653","Endereco 653",00-000-0652,Buscar,28,0,0,0,28,22:43:00,00:55:00
654,2011-11-19,21:54:00,"Cliente 654","Endereco 654",00-000-0653,Buscar,28,0,0,0,28,22:48:00,00:54:00
655,2011-11-19,22:07:00,"Cliente 655","Endereco 655",00-000-0654,Buscar,28,0,4,0,32,22:39:00,00:32:00
656,2011-11-19,22:12:00,"Cliente 656","Endereco 656",00-000-0655,Entrega,20,0,0,3,23,23:00:00,00:48:00
657,2011-11-19,22:38:00,"Cliente 657","Endereco 657",00-000-0656,Buscar,18,0,4.5,0,22.5,23:33:00,00:55:00
658,2011-11-19,23:09:00,"Cliente 658","Endereco 658",00-000-0657,Entrega,36,0,4.5,2.5,43,23:40:00,00:31:00
659,2011-11-19,23:27:00,"Cliente 659","Endereco 659",00-000-0658,Entrega,32,0,0,5,37,23:55:00,00:28:00
660,2011-11-20,18:29:00,"Cliente 660","Endereco 660",00-000-0659,Entrega,32,0,4.5,3,39.5,19:20:00,00:51:00
661,2011-11-20,19:41:00,"Cliente 661","Endereco 661",00-000-0660,Buscar,31,0,0,0,31,20:19:00,00:38:00
662,2011-11-20,19:43:00,"Cliente 662","Endereco 662",00-000-0661,Entrega,18,0,0,2.5,20.5,20:30:00,00:47:00
663,2011-11-20,19:50:00,"Cliente 663","Endereco 663",00-000-0662,Buscar,19,0,4.5,0,23.5,20:15:00,00:25:00
664,2011-11-20,20:19:00,"Cliente 664","Endereco 664",00-000-0663,Buscar,32,0,0,0,32,20:50:00,00:31:00
665,2011-11-20,20:27:00,"Cliente 665","Endereco 665",00-000-0664,Entrega,21,0,4.5,2.5,28,21:10:00,00:43:00
666,2011-11-20,20:29:00,"Cliente 666","Endereco 666",00-000-0665,Entrega,28,0,0,2.5,30.5,21:04:00,00:35:00
667,2011-11-20,20:30:00,"Cliente 667","Endereco 667",00-000-0666,Entrega,30,0,0,2.5,32.5,21:02:00,00:32:00
668,2011-11-20,20:38:00,"Cliente 668","Endereco 668",00-000-0667,Entrega,36,0,4.5,2.5,43,21:20:00,00:42:00
669,2011-11-20,20:45:00,"Cliente 669","Endereco 669",00-000-0668,Entrega,22,2.5,0,2.5,27,21:30:00,00:45:00
670,2011-11-20,21:05:00,"Cliente 670","Endereco 670",00-000-0669,Entrega,30,0,4.5,2.5,37,22:00:00,00:55:00
671,2011-11-20,21:11:00,"Cliente 671","Endereco 671",00-000-0670,Entrega,31,0,0,2.5,33.5,21:55:00,00:44:00
672,2011-11-20,21:40:00,"Cliente 672","Endereco 672",00-000-0671,Entrega,28,2.5,0,2.5,33,22:25:00,00:45:00
673,2011-11-20,21:49:00,"Cliente 673","Endereco 673",00-000-0672,Buscar,30,0,0,0,30,22:20:00,00:31:00
674,2011-11-20,21:53:00,"Cliente 674","Endereco 674",00-000-0673,Entrega,28,3,4.5,2.5,38,22:45:00,00:52:00
675,2011-11-20,21:55:00,"Cliente 675","Endereco 675",00-000-0674,Buscar,20,0,0,0,20,22:40:00,00:45:00
676,2011-11-20,22:20:00,"Cliente 676","Endereco 676",00-000-0675,Entrega,20,0,0,2.5,22.5,23:02:00,00:42:00
677,2011-11-20,22:21:00,"Cliente 677","Endereco 677",00-000-0676,Entrega,20,0,0,2.5,22.5,23:00:00,00:39:00
678,2011-11-22,22:25:00,"Cliente 678","Endereco 678",00-000-0677,Entrega,23,0,4.5,2.5,30,23:00:00,00:35:00
679,2011-11-22,18:28:00,"Cliente 679","Endereco 679",00-000-0678,Entrega,23,0,0,2.5,25.5,19:00:00,00:32:00
680,2011-11-22,20:26:00,"Cliente 680","Endereco 680",00-000-0679,Entrega,23,0,0,2.5,25.5,21:00:00,00:34:00
681,2011-11-22,20:26:00,"Cliente 681","Endereco 681",00-000-0680,Entrega,20,0,0,2.5,22.5,21:00:00,00:34:00
682,2011-11-22,20:31:00,"Cliente 682","Endereco 682",00-000-0681,Buscar,28,0,0,0,28,20:55:00,00:24:00
683,2011-11-22,21:25:00,"Cliente 683","Endereco 683",00-000-0682,Buscar,22,3,4,0,29,21:53:00,00:28:00
684,2011-11-22,21:30:00,"Cliente 684","Endereco 684",00-000-0683,Buscar,27,0,0,0,27,22:00:00,00:30:00
685,2011-11-22,21:40:00,"Cliente 685","Endereco 685",00-000-0684,Buscar,23,0,0,0,23,22:30:00,00:50:00
686,2011-11-22,21:50:00,"Cliente 686","Endereco 686",00-000-0685,Buscar,27,2.5,0,0,29.5,22:06:00,00:16:00
687,2011-11-22,22:00:00,"Cliente 687","Endereco 687",00-000-0686,Entrega,20,0,4.5,2.5,27,22:40:00,00:40:00
688,2011-11-23,20:14:00,"Cliente 688","Endereco 688",00-000-0687,Buscar,36,0,0,0,36,21:00:00,00:46:00
689,2011-11-23,20:26:00,"Cliente 689","Endereco 689",00-000-0688,Buscar,32,0,0,0,31.5,21:03:00,00:37:00
690,2011-11-23,21:01:00,"Cliente 690","Endereco 690",00-000-0689,Entrega,23,0,0,2.5,25.5,21:30:00,00:29:00
691,2011-11-23,21:54:00,"Cliente 691","Endereco 691",00-000-0690,Entrega,32,2.5,0,2.5,37,22:30:00,00:36:00
692,2011-11-23,22:49:00,"Cliente 692","Endereco 692",00-000-0691,Buscar,22.5,0,0,0,22.5,23:20:00,00:31:00
693,2011-11-23,22:50:00,"Cliente 693","Endereco 693",00-000-0692,Entrega,28,0,0,2.5,30.5,23:14:00,00:24:00
694,2011-11-24,18:00:00,"Cliente 694","Endereco 694",00-000-0693,Buscar,27,0,0,0,27,18:50:00,00:50:00
695,2011-11-24,18:40:00,"Cliente 695","Endereco 695",00-000-0694,Entrega,18,0,0,2.5,20.5,19:15:00,00:35:00
696,2011-11-24,18:45:00,"Cliente 696","Endereco 696",00-000-0695,Buscar,32,0,0,0,32,19:30:00,00:45:00
697,2011-11-24,18:50:00,"Cliente 697","Endereco 697",00-000-0696,Buscar,30,0,0,0,30,19:40:00,00:50:00
698,2011-11-24,19:27:00,"Cliente 698","Endereco 698",00-000-0697,Buscar,30,0,0,0,30,20:00:00,00:33:00
699,2011-11-24,19:29:00,"Cliente 699","Endereco 699",00-000-0698,Buscar,20,0,0,0,20,20:17:00,00:48:00
700,2011-11-24,20:15:00,"Cliente 700","Endereco 700",00-000-0699,Entrega,28,0,0,2.5,30.5,20:42:00,00:27:00
701,2011-11-24,20:30:00,"Cliente 701","Endereco 701",00-000-0700,Entrega,23,0,4,2.5,29.5,21:02:00,00:32:00
702,2011-11-24,21:05:00,"Cliente 702","Endereco 702",00-000-0701,Entrega,17,0,0,2.5,19.5,21:40:00,00:35:00
703,2011-11-24,21:18:00,"Cliente 703","Endereco 703",00-000-0702,Entrega,20,0,4,2.5,26.5,21:47:00,00:29:00
704,2011-11-24,21:24:00,"Cliente 704","Endereco 704",00-000-0703,Entrega,21,0,0,4,25,21:40:00,00:16:00
705,2011-11-24,21:46:00,"Cliente 705","Endereco 705",00-000-0704,Entrega,23,0,0,3,26,22:13:00,00:27:00
706,2011-11-24,22:22:00,"Cliente 706","Endereco 706",00-000-0705,Entrega,36,0,0,3,39,23:00:00,00:38:00
707,2011-11-24,22:32:00,"Cliente 707","Endereco 707",00-000-0706,Entrega,21,0,4.5,2.5,28,23:00:00,00:28:00
708,2011-11-24,22:45:00,"Cliente 708","Endereco 708",00-000-0707,Entrega,19,0,0,2.5,21.5,23:30:00,00:45:00
709,2011-11-24,23:05:00,"Cliente 709","Endereco 709",00-000-0708,Buscar,23,0,0,0,23,23:50:00,00:45:00
710,2011-11-24,23:10:00,"Cliente 710","Endereco 710",00-000-0709,Buscar,30,0,0,0,30,23:50:00,00:40:00
711,2011-11-24,23:15:00,"Cliente 711","Endereco 711",00-000-0710,Buscar,28,0,0,0,28,23:55:00,00:40:00
